company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
QUOTE EASY LIMITED,10738557,Active,Private limited company,,,2017-04-25,,,65110,Basement 35 Seymour Terrace Seymour Street Liverpool L3 5PE England
MEDIA INSURANCE BROKERS INTERNATIONAL LIMITED,03872416,Active,Private limited company,,,1999-11-05,,,65110 65201,One Creechurch Place London EC3A 5AF United Kingdom
HONOLY GROUP LTD,13871860,Active,Private limited company,,,2022-01-25,,,65110,154 Cove Road Farnborough GU14 0HJ England
MARTIN AND MARTIN FINANCE LTD,11997095,Active,Private limited company,,,2019-05-15,,,58190 65110 66220,3a Canberra House London Road London Road St. Albans AL1 1LE England
PROMINENT LIFE COVER LTD,12034548,Active,Private limited company,,,2019-06-05,,,65110,"39 Holte Road Birmingham B6 6RS "
CARDIF INSURANCE HOLDINGS PLC,02713318,Active,Public limited company,,,1992-05-05,,,65110 70100,10 Harewood Avenue London NW1 6AA United Kingdom
NELFIN LTD,13407210,Active,Private limited company,,,2021-05-18,,,65110 66190 66220 66290,1 Peach Street Wokingham RG40 1XJ England
ARMOUR LIFE LTD,11961985,Active,Private limited company,,,2019-04-25,,,65110 65120 66220,C/O 55 East Budleigh Road Budleigh Salterton EX9 6EW England
INSURE YOUR LIFE LIMITED,12022733,Active,Private limited company,,,2019-05-29,,,65110,2 Huddersfield Road Stalybridge SK15 2QA England
BOUNCE HOME LIMITED,11131746,Active,Private limited company,,,2018-01-03,,,65110,"Baverstocks Chartered Accountants Dickens House, 3-7 Guithavon Street Witham CM8 1BJ United Kingdom"
BUZZACOTT FINANCIAL SERVICES LIMITED,01862661,Active,Private limited company,,,1984-11-09,,,65110 82990,130 Wood Street London EC2V 6DL United Kingdom
BEST FIT MORTGAGES LTD,15722235,Active,Private limited company,,,2024-05-15,,,64922 65110 65120 66220,60 Chiltern Road St. Helens WA9 2HT England
MERIDIAN INSURANCE ADVISORS LIMITED,04426168,Active,Private limited company,,,2002-04-26,,,65110 65120,"17 Central Buildings Market Place Thirsk YO7 1HD "
DJA FINANCIAL LTD,SC566780,Active,Private limited company,,,2017-05-23,,,65110,64 Keswick Road East Kilbride Glasgow G75 8QX Scotland
WATERSIDE MORTGAGES LTD,13469739,Active,Private limited company,,,2021-06-21,,,64922 65110 65120,6 Laurel Close Hythe Southampton SO45 5EN England
IMATCH MORTGAGES LIMITED,04573674,Active,Private limited company,,,2002-10-25,,,64999 65110 65201 66190,81a High Street Teddington TW11 8HG England
ELLIOTT FINANCIAL SERVICES LTD,04795874,Active,Private limited company,,,2003-06-11,,,65110,"Littlehaven House 24-26 Littlehaven Lane Horsham RH12 4HT "
TLD WEALTH MANAGEMENT LIMITED,09412791,Active,Private limited company,,,2015-01-29,,,65110,30 Great Underbank Stockport SK1 1NB United Kingdom
ANNUITY DISCOUNTS DIRECT LTD,03778875,Active,Private limited company,,,1999-05-27,,,65110 65120 65201 65300,"Ockley 24 Downs Way Tadworth KT20 5DZ "
DELTAGEM FINANCE LIMITED,04359520,Active,Private limited company,,,2002-01-24,,,65110,"Elscot House Arcadia Avenue London N3 2JU "
AFFINITY SELECT INSURANCE SERVICES LIMITED,03565404,Active,Private limited company,,,1998-05-18,,,64191 65110 65120 70229,"Units 1-6 Horsted Square Bellbrook Industrial Estate Uckfield TN22 1QG "
JAMES ESDAILE LIMITED,07310836,Active,Private limited company,,,2010-07-12,,,65110,Lancaster House Ackhurst Business Park Foxhole Road Chorley PR7 1NY England
LOREGA (UK) LIMITED,09597311,Active,Private limited company,,,2015-05-19,,,65110 65120,2 Minster Court Mincing Lane London EC3R 7PD England
HEIDI LOUGHLIN LIMITED,15759054,Active,Private limited company,,,2024-06-04,,,65110,17 Station Road Portishead Bristol BS20 7DB England
